index,theta_deg,bg,detected,iou,corner_err_px,center_off_px,elapsed_ms
0,0.0,dark-wood,1,0.9784,1.21,1.12,9.12
1,0.0,dark-wood,1,0.9784,1.21,1.12,1.21
2,5.0,dark-wood,1,0.9757,1.28,1.25,1.07
3,5.0,dark-wood,1,0.9757,1.28,1.25,1.4
4,10.0,dark-wood,1,0.9887,0.99,0.9,1.15
5,10.0,dark-wood,1,0.9887,0.99,0.9,1.3
6,15.0,dark-wood,1,0.981,1.11,0.9,1.19
7,15.0,dark-wood,1,0.981,1.11,0.9,1.05
8,20.0,dark-wood,1,0.9754,1.68,1.12,1.13
9,20.0,dark-wood,1,0.9754,1.68,1.12,1.3
10,25.0,dark-wood,1,0.9775,1.82,1.03,1.04
11,25.0,dark-wood,1,0.9775,1.82,1.03,1.32
12,30.0,dark-wood,1,0.9755,1.93,0.79,1.12
13,30.0,dark-wood,1,0.9755,1.93,0.79,1.16
14,35.0,dark-wood,1,0.9701,2.52,1.52,1.19
15,35.0,dark-wood,1,0.9701,2.52,1.52,1.19
16,40.0,dark-wood,1,0.9748,2.45,1.0,1.09
17,40.0,dark-wood,1,0.9748,2.45,1.0,1.27
18,45.0,dark-wood,0,0.0,,,3.08
19,45.0,dark-wood,0,0.0,,,1.59
